id,prompt_length,response_length,source,type,quality_score,destination
e65d44966bbd0b4af12fd68bc3e854fb,27,203,scraped,question_answer,3,
0e1b893f53d00e16dd83e6f08d722b39,116,1611,scraped,question_answer,3,
b698132f5ba49103c09a043096da541b,29,2175,scraped,discussion,3,
13879175586a6ea1bb741bdc5b614b9c,23,285,scraped,discussion,3,
2ec4803abcc9a2e32d427210ba60332a,52,1250,scraped,question_answer,3,
9aa5cfed85266424aece035dbd299580,41,997,scraped,discussion,3,
083652edfb16706da84263f2d9216bab,22,751,scraped,question_answer,3,
c776ed8446691c5314b4fed5b0eabdda,24,663,scraped,discussion,3,
f74bb25eea1f30644c505a322b606632,76,832,scraped,question_answer,3,
7089852bc3db998d7a2faa353a486d5f,67,661,scraped,question_answer,3,
3220dcc4a4efeffed6269509e42773a2,118,583,scraped,question_answer,3,
71760a6269d91791ee780ac85db6e693,36,160,scraped,question_answer,3,
4e462fe8dfc24dc9fa238e91e960d043,23,422,scraped,discussion,3,
f885b3c26737b86f5a33ca31d863e919,39,636,scraped,discussion,3,
210a48132e1fc8eba06118d08cdda305,91,744,scraped,question_answer,3,
e7b607a4d8542c89db9af35fe44a1054,50,698,scraped,question_answer,3,
70be1179f01757a53d9309333e57fcaa,46,156,scraped,discussion,3,
b9704421afb78649a9da67be6c9f5ffa,57,886,scraped,discussion,3,
7363c5e1af7a1f27e5eff54213098538,61,2182,scraped,discussion,3,
0e428566af2548384bfd9d0660be8821,28,556,scraped,discussion,3,
217dc18af550030f6d0a1363d5d52a70,73,451,scraped,discussion,3,
4d684b0469295752a32a823ebe483e14,39,727,scraped,discussion,3,
4ba8080921c904f04c0df07f8f9f3351,52,317,scraped,discussion,3,
5bd8d2b2351cec4c777c3c0b49020790,43,221,scraped,discussion,3,
7f247b3737648f0c291677ebd42e94dc,23,159,scraped,discussion,3,
1762d4b893b8a9f43eba545816a12c3c,62,361,scraped,question_answer,3,
c7cd408a31a624af1af2e6ceabfa997a,23,382,scraped,discussion,3,
3dcbdd93a188264cfb57fba4a47cbe21,70,1890,scraped,discussion,3,
9c85c3740250262ce8e7e39d35a60a33,38,250,scraped,discussion,3,
dd0c8e9f31ef9a1ff0dc24b82e2d89e4,50,573,scraped,question_answer,3,
96861150ee3a96bdb73915a306d325b7,22,301,scraped,discussion,3,
fc6fa381d4870385e1c1390070d7dd54,23,715,scraped,discussion,3,
e45188feedf17c1831cd3018f8f22723,29,161,scraped,question_answer,3,
42010af1cb9c269d4cf3bef198dfdd41,27,258,scraped,question_answer,3,
84164d1bab66f9ed22d4ce706f80eb7e,63,817,scraped,discussion,3,
b1219d6f8ce108f1e7ce4a6948539fef,88,628,scraped,discussion,3,
af690871f4d62787e0faad3080d53bfd,32,52,scraped,short_conversation,2,
3b1ada83daf34472aa54814a9fb71711,34,197,scraped,discussion,3,
dbf7a030b115abf1038a74b3ea8b3fc5,41,517,scraped,question_answer,3,
675610b548785f58fbc8042f8b7d1ab2,45,268,scraped,discussion,3,
724406b96d9500a42023820f40a5d001,49,1440,scraped,discussion,3,
b7da1773a28dc27169b3e448ecf078b8,31,388,scraped,discussion,3,
78e554d960a616a2a57162ecdb41d95e,96,2607,scraped,discussion,3,
3c1557f0619fb73ce51ce906f442b56d,35,493,scraped,discussion,3,
bfa9a4a1bc5edf4264827a4b6a9182f8,37,985,scraped,discussion,3,
cbc8960721c6abccf812f594e3e66042,95,1709,scraped,discussion,3,
38a59b7fa21f783ee8f2091b2842a954,33,2775,scraped,discussion,3,
359ebcf9b9ead857f7370b6d408eea67,81,1669,scraped,discussion,3,
f95aaeef6259fa02c1755405083da862,50,921,scraped,question_answer,3,
bde19d5a4ae3cc5c3160046884de3c93,31,1142,scraped,discussion,3,
537da4895410df0c7a062fed84db0d77,26,486,scraped,discussion,3,
3c0919d348591ff7613fa79d3031b66d,55,4382,scraped,discussion,3,
cd3ddf147271980c38569af4cd2cab36,55,18742,scraped,discussion,3,
bcb3820b71132a76aeea4e37cf3d0f6c,29,3270,scraped,discussion,3,
dfc3aae1a5629c45b94f5c7f4ba9cbde,45,1371,scraped,discussion,3,
2d43ddd2a332c39cc4c2f7d451193958,49,1023,scraped,discussion,3,
d3b5eef6e959eef8ed182531a5db226d,22,396,scraped,discussion,3,
bf561ad5d4ec5c38fbbc6c8bf67d31fc,46,2114,scraped,question_answer,3,
311ccfdcb4e3d09d6e10550ee5e02c65,28,1092,scraped,discussion,3,
2aebca3195c49f143958db9ec8086fc2,28,1112,scraped,discussion,3,
475fbb46546ae5f552f67edd4dcdfe88,24,1320,scraped,question_answer,3,
c01fe6c3c962204acc271d5dde778daa,69,1559,scraped,discussion,3,
dcfc2f475b53738ed59a44db81609090,59,1117,scraped,question_answer,3,
2d18b7f509d78e03312fdeee1d2849d4,25,1673,scraped,discussion,3,
c099b6e0717fe25776e651b17437505e,55,2955,scraped,question_answer,3,
db347e42aea27230cfd91e2e4ecf2f5e,66,1121,scraped,question_answer,3,
cb475c6cfb82ce429f2ee983d092eb25,62,649,scraped,question_answer,3,
e1e7f34b8caaa0bdc121e11ec2899b45,58,1814,scraped,question_answer,3,
9696f8398095d11710cc449a485cf3a2,42,1281,scraped,discussion,3,
994b829f88f2be1fa84afd8d0bdd3dfa,41,2705,scraped,discussion,3,
b8af2295543695c08b3cf5f5b1d7dbab,37,1138,scraped,discussion,3,
3716b1f4812ea7c94c425bd5a7d3ff17,29,1812,scraped,discussion,3,
9b6fc38ff4749f0c768b6922459798f5,40,17016,scraped,discussion,3,
e6231052ce6f5a78a21a57f9f38bb8c7,70,293,scraped,question_answer,3,
2495e0785eee10ff5fbc05e531125aed,77,585,scraped,question_answer,3,
ade3f6ed5c777df9c84f42af26784b92,37,4084,scraped,discussion,3,
21df5562457e39ecfb2e6bf1373c99fb,65,1836,scraped,discussion,3,
446689e7864dbf0bb78f40a47f9460a4,23,542,scraped,discussion,3,
21ce63b0e2adc46b262baec890b3ef92,33,820,scraped,question_answer,3,
de3d88ac5f28b8ee0a49e7b8739f9aef,28,2226,scraped,discussion,3,
477abf2169124447c28546f3896821cd,52,1435,scraped,discussion,3,
158f8b3d806c7fbe7edcd8b9499e919f,36,899,scraped,discussion,3,
beecbc955f4e8dc5d48223d2a2edbfa6,29,822,scraped,question_answer,3,
580a4b8652cfc7e27cfd22d2d274d26d,47,843,scraped,question_answer,3,
e7ba8e38ed4dd54c638d8ef9b4920abd,29,369,scraped,question_answer,3,
d615e224de19e8ecff83ddcb09450ce2,73,2023,scraped,question_answer,3,
075ac1b4aa075ec86c7465e379cc96cf,33,1191,scraped,discussion,3,
519b51b717a1e5c41c84725ee3c66510,29,831,scraped,discussion,3,
3f1792d65bad8473198d0239dd5e44ce,65,1802,scraped,discussion,3,
cb4ccf51733dea4c77ecfbe6b6eb5283,29,848,scraped,question_answer,3,
cfc1d9b1bccd89d973633886c9190d58,66,1337,scraped,discussion,3,
719206fba26238d63e7201dad2d1221d,29,1013,scraped,discussion,3,
f9ce486b48f152d3537972e4a0007086,29,880,scraped,question_answer,3,
03c33d0d2e147990804b12e13a35e1fa,64,2613,scraped,discussion,3,
55be6bc14c3fc760ff11859f8a9627be,50,1262,scraped,discussion,3,
0389bc013a5f48cf588ec759a24cdfce,78,1138,scraped,question_answer,3,
969dce884703049e405bd413a4da3138,52,1991,scraped,question_answer,3,
1910ffb05a43bb84ea9931e39e312b02,26,2005,scraped,discussion,3,
b744d46b35ecbc4e51998875db43f149,49,413,scraped,discussion,3,
ff86b791c3fd361199782bcafee54eca,23,675,scraped,discussion,3,
a2f114ef40a5d1d5edcd05f40fcd334b,65,229,scraped,question_answer,3,
e1e85b42dbf9cf9a11b96d13937b0f87,66,1192,scraped,discussion,3,
4496de45ef7853fae87d0d41971be7cf,53,1882,scraped,discussion,3,
375a27034f64e4c42e24fa52fae92d2f,38,1409,scraped,discussion,3,
ff09193bbb2e07b6afb7023a49d1cbb4,30,1656,scraped,discussion,3,
39ece635abf0bdb30983b982dcf200bf,24,1358,scraped,discussion,3,
8a25e8b09d93c00a3a333b978cab46d3,29,902,scraped,discussion,3,
b2a34ae277f3c941ddec36da379fdf22,45,450,scraped,question_answer,3,
4b15b847020c457dcba26186237ae473,48,17567,scraped,discussion,3,
1becacf3b7014a6ad1b10fcc47c1a9d2,76,657,scraped,question_answer,3,
916e8ab4eb6ea58ff7c17e0a63dcabd3,103,905,scraped,question_answer,3,
7782ed3210166c1ed6a6015bb0d2dbd0,68,15641,scraped,discussion,3,
d13693cfce592f4c7b0f376e517f3890,125,808,scraped,discussion,3,
45903c459bfb9b492a63c5144c9fb011,35,494,scraped,discussion,3,
e0ebb989cc0fe23c1405d5d49c2d668d,41,6610,scraped,discussion,3,
593ea30fb0325e391a5044f7f2ce11dd,45,2682,scraped,question_answer,3,
297a74fbc5d2e7c1faa6b7e3b3107dc9,27,814,scraped,discussion,3,
982b5dcf1bf344b28df690b033c64cdd,82,884,scraped,discussion,3,
090264d1ee52519c6b36d0d429f03922,56,1141,scraped,question_answer,3,
438221184e964316bc2354ffb6855e2b,40,1261,scraped,discussion,3,
443ea94c3ec5d489f40e385f6e1ee85e,42,1446,scraped,discussion,3,
5b337666e8c0cfbefe84908393d6d3e5,141,1673,scraped,question_answer,3,
cf069c2dce27fda87b2f12ada30a9118,44,890,scraped,discussion,3,
24f2c63358c020eb738ca9df898b0d9c,76,3701,scraped,discussion,3,
acb414391bef409e9b09394a8f2d88d5,75,1234,scraped,question_answer,3,
0fd25fabe78bb2225f78e5f993c344cc,58,8528,scraped,discussion,3,
71e5ca3a356893e4af8b224bf29f3278,126,1032,scraped,question_answer,3,
41448efbac1a2046ffd2deb96dcd73e1,35,488,scraped,question_answer,3,
10ec1ffab8ce28150f0eccb14004d975,78,2731,scraped,discussion,3,
aa64dbc8c5455ad5ab0580f44b3df3ea,44,1205,scraped,question_answer,3,
5ca9abcefe054de6f5635d595ffe0d7c,78,1260,scraped,question_answer,3,
98f1646d434f41957eee95a0c422a40f,47,1307,scraped,discussion,3,
f7ad8acebe492b5861cd78c82e9072bb,115,2815,scraped,discussion,3,
a716f0cc90e88bf6288e77c072288b0c,63,1150,scraped,discussion,3,
47db18238e61563b51e9cb15dd1ca6d2,99,771,scraped,question_answer,3,
ed88e29060fce53fb2c07621a647ba23,56,1513,scraped,question_answer,3,
bd640ff85f9f836ab2366b2173239c33,22,445,scraped,discussion,3,
c89153e534af0998bb691ed53bd6ba6d,26,4335,scraped,discussion,3,
eb5e280129efc0ef3667bce2e54a96cc,108,504,scraped,discussion,3,
979057a924c1455cd66dd235b71b4208,123,440,scraped,discussion,3,
8c72b0d470a78ab34aa7f7c8cd3f0a68,33,225,scraped,discussion,3,
ade50d5ff7ba62c47e8e1a9da298f779,54,1553,scraped,discussion,3,
bb34445764b503c44f268088e4591def,76,293,scraped,question_answer,3,
fc42db9003bb73f7083b6793d4e549d1,53,1015,scraped,discussion,3,
5dc498c878d3018a9f902f1a35a6140f,51,365,scraped,discussion,3,
f8481ffd62d73807c1ff06dd058b1f63,52,582,scraped,discussion,3,
31feba501d713a6870a644ca0a077496,59,439,scraped,question_answer,3,
18c864f6cc317ed95b557d202d40fa44,48,1153,scraped,question_answer,3,
eab728be2572f15a567a4d3d08b6bd80,41,314,scraped,discussion,3,
a3cea0372c99414436d89342a48bdac4,189,159,scraped,question_answer,3,
8735b2c674499a71598b73cb11c49326,22,325,scraped,discussion,3,
49e63b82fa9edfbf531508814af79b3c,26,856,scraped,discussion,3,
0c3e98a89fc8b42b8625e91e895f0320,49,183,scraped,question_answer,3,
847ff37ed2df8ada8e4f4bb37fd64ca5,33,1136,scraped,discussion,3,
b3ca7c3fd65fda59222687b20e725394,53,389,scraped,question_answer,3,
5894b68aafb71b07d6b62a1d75db0a59,47,1740,scraped,discussion,3,
089f349e6321ce43818b3f2a1fe0f0bf,35,427,scraped,discussion,3,
6a9e43ac2fd4aae9058f1064647da6b9,42,216,scraped,discussion,3,
fe9a6405cbe5de5c3dc054005e7a3d57,83,368,scraped,question_answer,3,
a1e0e6e0b8d14d8c82e27cd33fee3a9f,41,393,scraped,discussion,3,
1866282817dc0615c9561ecae9087a6c,74,174,scraped,discussion,3,
f1e0ab9c3e722a31fda883e6ca2bcedf,31,220,scraped,question_answer,3,
887c67bfba27bca64a84e7c16caf9f56,24,293,scraped,discussion,3,
236b6d016c5d6d510723cec43a60d539,51,1976,scraped,question_answer,3,
cc0fb9498b1455f9d877fafeac68deb0,94,495,scraped,question_answer,3,
7d460691ce7cffd64d05edc709e00061,51,2407,scraped,discussion,3,
14485c1391bc7c2f100c9c2b2f346d75,49,177,scraped,discussion,3,
c92cdbd99a9a0a1c81cb395b9915242f,40,296,scraped,discussion,3,
b11dbbc1be653e08168a71e80661cf9d,41,491,scraped,question_answer,3,
bb3507b96377f1647d99b12a1498a3ff,45,145,scraped,discussion,3,
84d0d9a7e60019dc177331db6ad6d106,75,143,scraped,discussion,3,
1393834aabfc5027b38f14883d2316ae,24,1208,scraped,discussion,3,
16f6eaa8ea9722aab43677d5912cc872,81,845,scraped,discussion,3,
0d50954c217fa163f30d8a11a3467f75,28,150,scraped,discussion,3,
662dd5eeeeeba6c8b988f1d2761dad43,87,287,scraped,discussion,3,
6b37b68607249d2a49c49ad520eb916e,31,259,scraped,discussion,3,
e3ea1c116cbe90862a56067a8dd6a38c,28,342,scraped,discussion,3,
6de6b57eb7202e48144e84b9ddbedcbe,39,1058,scraped,question_answer,3,
fb472bdfe418241682a3fe7869fb4d29,44,1963,scraped,discussion,3,
bb866c7107613e86619d36ace356cc6c,63,887,scraped,question_answer,3,
fa9b1a5697187d0c10d9f4a8d5e32bb2,46,239,scraped,discussion,3,
b0e8ff936c36a59e9e77f6f132c09781,30,565,scraped,discussion,3,
5bd3e9cc6f4b2568183c9fcd17c60b79,25,531,scraped,discussion,3,
751be64f4e8f5a319e794d3b20d14ef7,67,2085,scraped,discussion,3,
88e16c562717fb78e963cf8383ed8634,138,167,scraped,discussion,3,
79a7fcc9183d12fca19306842cebcb9a,36,197,scraped,discussion,3,
d4733d5b7505b68fa4bdca3d823b5740,35,433,scraped,question_answer,3,
6192d5f19c5d27a35e0c8102143731a1,26,546,scraped,discussion,3,
74a0b1e494925bc3f67778752dd7c65f,43,383,scraped,discussion,3,
fc8e7b48ff1a5acee93ac9a28ec6d303,46,146,scraped,discussion,3,
5b32817602f0f2d316e811a6aa3c5f75,31,712,scraped,discussion,3,
7468bf3221f548997ed8e9f595b81785,63,398,scraped,discussion,3,
ece0b30d855104cbf3d156d2f4a38367,31,165,scraped,discussion,3,
1c2856c970deac2aaaccfe9493d906b9,28,562,scraped,discussion,3,
8d98947183e4cb6e76b5267a384c5834,50,1056,scraped,question_answer,3,
3e95cb960f7bf0d963aadcaf16a42613,25,651,scraped,discussion,3,
d12ec3adb82848eeaaaf754699741ec7,42,242,scraped,question_answer,3,
91e98bf81345008e4c4a94d434aac2a3,50,451,scraped,discussion,3,
c71cb0510f1323a8683f52ee1303f618,73,438,scraped,question_answer,3,
12f054f2d34cb1d96381a43aae2aa013,40,792,scraped,question_answer,3,
b76a1e2de7101126f6138634a7b48bfa,145,1597,scraped,question_answer,3,
47c9665c734cdc1b6d4d3364f6220731,61,727,scraped,discussion,3,
75b396483953e24fb5089fa16156893c,33,833,scraped,discussion,3,
89416bdcb236be85b00a08fd05fc3c8f,27,481,scraped,discussion,3,
60eba3d4bac11aae366ddbbad77aa0c5,21,428,scraped,discussion,3,
272986619df5f125d32c8b3fb9d11fc3,32,335,scraped,discussion,3,
2fbffd446da814c193042db6db9b2eae,28,346,scraped,discussion,3,
028ba1396c62a8d30f1e92f9bccf80d3,97,510,scraped,discussion,3,
88ca8d57163397b7b3abc9ce0aefe8cb,22,440,scraped,question_answer,3,
4a1cec96173c61d0bebbd8b0a8eb93d0,51,289,scraped,question_answer,3,
22940a5007aaeda5857939900629c734,32,714,scraped,discussion,3,
80d17707981bf2816a603fd0e32ce032,39,256,scraped,discussion,3,
cbaa064ad2d2552d94689fea6b8eb82b,80,837,scraped,discussion,3,
70429dd6173f3f9a97998c48a82c52e8,38,134,scraped,discussion,3,
642746e605c4139108b87022c9317e16,133,1112,scraped,discussion,3,
b54daea4cf48a2679f26d9bf81a4a51c,23,151,scraped,discussion,3,
8ddd4336d8ab17fceef547838e702a9f,57,716,scraped,discussion,3,
c46afe3044d7d9b73eb612d7179717f1,26,1533,scraped,discussion,3,
cddb73ca04b243b914091c15ee863f3c,81,1105,scraped,discussion,3,
b1455c05feda451c8549bbe381b78fe8,78,2000,scraped,discussion,3,
fc6224bd9ba7cd57c9da771d9ec6e0aa,126,5289,synthetic,detailed_planning,5,Phuket
65b931b08f517401352917cf8ac2b7b5,140,4818,synthetic,detailed_planning,5,Helsinki
5ce4f2c48945e229a4224cddb0ed69d7,135,6227,synthetic,detailed_planning,5,Cape Town
e6d422a007214bb050d75d2c8085b67e,114,4523,synthetic,detailed_planning,5,Paris
6175fc6cfec7d5ca25ad4a94f5d52116,121,5513,synthetic,detailed_planning,5,Lima
52ad82c962ab3958a5069dafa262c586,132,3985,synthetic,detailed_planning,5,Montevideo
ca00b15273d157cbb8cc6ad44b67a7bd,109,5906,synthetic,detailed_planning,5,Havana
2a9cb87a1874fcd1892791ec526e57c6,137,4637,synthetic,detailed_planning,5,Berlin
e43c7522d5be3782fce71e0207eff726,117,4035,synthetic,detailed_planning,5,Vienna
29f448c507c7ef65438034de7a2d64e3,128,4713,synthetic,detailed_planning,5,Buenos Aires
72bd55902b90ad3cd353370347809d4a,124,4877,synthetic,detailed_planning,5,Tokyo
e4102cc3f51c7ee82e1ebb02ff5422ce,134,3839,synthetic,detailed_planning,5,Bangkok
17563ff3c8ab4e58fa5de19d53de3061,126,4457,synthetic,detailed_planning,5,Singapore
d48cbff87e5fd0f43917334ba33bed76,131,4384,synthetic,detailed_planning,5,Sydney
a89659cb8a59c01b37dbd5b1634e8415,128,4166,synthetic,detailed_planning,5,Quito
7676c931e8d99cee774322b0513d3ddb,111,4809,synthetic,detailed_planning,5,Lima
c2b67a01a2daea4e022ede6cb7a6b23f,128,3389,synthetic,detailed_planning,5,Berlin
aae8f6e221bc385f581b6cd5e8277e93,113,4503,synthetic,detailed_planning,5,Yangon
930d2c4773b7691a8c730f2aeb31d740,132,4485,synthetic,detailed_planning,5,Reykjavik
6c056023f7dac92ff42f4fae390f1764,118,5209,synthetic,detailed_planning,5,Montevideo
4efcbd5ab70b51a90d654611a683ea84,153,5149,synthetic,detailed_planning,5,Havana
1cf323680959c0fcaabbd4e1ff32adf6,122,4507,synthetic,detailed_planning,5,Santiago
5862f943956c6e9fa5051e7ed2431dae,104,4186,synthetic,detailed_planning,5,Mumbai
e0cc72b0ed9af56df72e867e8cddd938,108,4476,synthetic,detailed_planning,5,Delhi
e6192135467de015784eea5e9a40ab7a,98,3932,synthetic,detailed_planning,5,Mumbai
2172eb56b00aa953dab7e3fd65692591,126,4806,synthetic,detailed_planning,5,Rome
0231bd2557ab471523954249c6b1b98e,111,5449,synthetic,detailed_planning,5,Stockholm
44b378b707e2c22a62bbddd93fd52872,114,5572,synthetic,detailed_planning,5,Paris
8dd4159abab0be71c5d93b080385a2c8,123,5671,synthetic,detailed_planning,5,Montevideo
b48214eb353706a09886d0816af63bcd,108,4150,synthetic,detailed_planning,5,Kuala Lumpur
a7eb38b8bd341d42c7446e0157351adf,116,4840,synthetic,detailed_planning,5,Beijing
4335e6700f72ac8b96786ec92ee80b5f,123,4812,synthetic,detailed_planning,5,Paris
b5a6d81dbb1704700ffa61ecb9e929be,110,6173,synthetic,detailed_planning,5,Stockholm
aeca64abeac7b9b3e9d57916f70077b5,146,5047,synthetic,detailed_planning,5,Lima
97458f736879ef9db98532a2d0f0d007,120,4290,synthetic,detailed_planning,5,Beijing
d6714f8a501fed1eb355a87f9dd1e9d6,114,4565,synthetic,detailed_planning,5,La Paz
b96312b2ee1ee27d4703c451dbf35f7c,135,5163,synthetic,detailed_planning,5,Barcelona
c63d131ffa2eeeb5f0f81840d26f7eaa,122,2997,synthetic,detailed_planning,5,Stockholm
bdcab8a956185b3208f081b07084c07c,132,5794,synthetic,detailed_planning,5,Sydney
4a2104aee8bd59b86eee4c50a5b594f9,110,4570,synthetic,detailed_planning,5,Lisbon
80ed16ab54550a7a66fec256e4a5f2c1,127,4705,synthetic,detailed_planning,5,Lima
a7aca5c6dbf9a1146b2c31a72405ccfc,130,3930,synthetic,detailed_planning,5,Sydney
06285e8d347eb88fbb49af48ad68fe67,110,5567,synthetic,detailed_planning,5,Delhi
0e1807ee5c3193cd5cd3531bf39f90cc,123,4745,synthetic,detailed_planning,5,Cairo
6196b547c42b773807d6e16a7da05c58,121,5390,synthetic,detailed_planning,5,Havana
8c5807b449e09b7618ed29619f7f6be0,132,4143,synthetic,detailed_planning,5,New York
15b2dcdf4a44f5e3d5c7ef23f51ccab1,110,4226,synthetic,detailed_planning,5,La Paz
5789de46a6dc2fd738ae1cc3952ac2da,127,4719,synthetic,detailed_planning,5,Prague
e1e1abdc26dee4d0ab125ebd79d8a062,110,3788,synthetic,detailed_planning,5,Oslo
f82d4876c47942d6d5b22c1d5097644f,109,4514,synthetic,detailed_planning,5,Helsinki
d2ebd7ea73141acc35da1cd39a24633e,130,4401,synthetic,detailed_planning,5,Lisbon
7a66e51d8885384fc30bd07107ef7830,111,4381,synthetic,detailed_planning,5,Bali
54c8efc27af3645b17e752899c197144,137,3974,synthetic,detailed_planning,5,Barcelona
7e325ef6dd1fdb9484b6e9e6c03be0c5,128,5732,synthetic,detailed_planning,5,Reykjavik
c6424b041e98844344386d09bdaa4a65,101,5512,synthetic,detailed_planning,5,London
3bdb680fe39eb8d4b5d47deb15efa5d7,123,7923,synthetic,detailed_planning,5,Sydney
6dbc47d8ac3657fa93ce021f90a8a19d,125,4521,synthetic,detailed_planning,5,Beijing
a9e00efd675978306af1861ef48afee6,110,4983,synthetic,detailed_planning,5,Yangon
2920038b5959f8156363b82d55c94797,129,4307,synthetic,detailed_planning,5,Havana
53f49c5f6e10a737ba9f4839456068e2,127,4221,synthetic,detailed_planning,5,Colombo
d27668eb13fd914a08cf590edac770b9,109,5208,synthetic,detailed_planning,5,La Paz
b2dd31d31a9d71dccfe261585cfa1431,125,3840,synthetic,detailed_planning,5,Stockholm
e32d9becac1ca7c637998e9619901709,136,5728,synthetic,detailed_planning,5,San Jose
dfb3829aa3942e307c2c084fe9282cae,106,4266,synthetic,detailed_planning,5,Paris
4aafb658a230473fbf8c8e8e787c7a43,140,4637,synthetic,detailed_planning,5,Istanbul
beb8faa938318d0fc50e9d4b7eb7458c,129,4238,synthetic,detailed_planning,5,Seoul
6e44c191054f53c81a6b697b05896481,129,5410,synthetic,detailed_planning,5,Oslo
2a881f9ba205cbb81969d833af81fbb9,123,4470,synthetic,detailed_planning,5,Havana
5836f3e179c978bc46321bacdcd683eb,123,3894,synthetic,detailed_planning,5,Singapore
286e79d4e66a5e1fc037abe83665e8ff,123,4893,synthetic,detailed_planning,5,Copenhagen
0349a25fab6ac0d771375161b0f9d88a,127,4850,synthetic,detailed_planning,5,Delhi
d5f90c0f55e32791b901ce0ec16503bf,123,3403,synthetic,detailed_planning,5,Beijing
e8ab0212d41107ffda796399afbd7554,133,6172,synthetic,detailed_planning,5,Bogota
56ea26b9fb6508ffcbaf939337b2caeb,122,5289,synthetic,detailed_planning,5,Prague
9ce3354753173edb6dd181d8e3461577,132,5471,synthetic,detailed_planning,5,Mumbai
a16506d75a78af27d07ca3de99a295ac,131,4531,synthetic,detailed_planning,5,Nairobi
b511d59d053b41eb24f5ee502808b482,124,4488,synthetic,detailed_planning,5,Delhi
533028ffa9de1df3e80436e308c180f2,116,4770,synthetic,detailed_planning,5,Paris
974ccf3b45954ddccdaccbe8b01ee4d5,133,4570,synthetic,detailed_planning,5,Vienna
